"","Lake_name","Invasion_category","Sample_type","Sample_origin","Collected_year","Collected_month_number","Littoral_zoobenthic_macroinvert_community_sample","Transect","Lat","Long","Sample_depth","Total_count","Vial_count","Functional_feeding_group","Method_of_take","real.name","Functional_group","Common_name","Scientific_name","Total_length_mm","Weight_g","Tube_box","Tube_ID","Tube_size_ml","Preservative","Isotope.sample.weight..mg.","Davis_ID_long","d13C","Total.C..µg.","d15N","Total.N..µg.","Type.of.Material","Sample.Weight..mg..from.Sample.List","Internal.ID","Lake_max_depth_m","Lake_surface_elev_m","Current_conversion","Secchi_m","Surface_area_ha","n","d13C_baseline","d13C_base_se","d15N_baseline","d15N_base_se","d13C_corr","d15N_corr"
"286","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",5,"tbd","tbd",0.5,2,2,"Piercer-predator","D-net","Hydrachnidia","Littoral forage Invertebrate","Water mite","Hydrachnidia",NA,NA,"2019-EA","EABX","1.5","Ethanol",0.955,"SIERRA-D-05",-27.25,439.39,3.72,121.84,"Invertebrate",0.955,1669575,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,1.178333333,2.685833333
"287","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",5,"tbd","tbd",1,2,2,"Piercer-predator","D-net","Hydrachnidia","Littoral forage Invertebrate","Water mite","Hydrachnidia",NA,NA,"2019-EA","EACA","1.5","Ethanol",1.05,"SIERRA-D-06",-28.5,485.6,4.08,133.98,"Invertebrate",1.05,1669576,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-0.071666667,3.045833333
"288","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",9,"48.213311","-113.768894",1.5,2,2,"Engulfer-predator-shredder-herbivore-collector-gatherer","D-net","Leptoceridae","Littoral forage Invertebrate","Longhorned case maker caddisfly","Leptoceridae",NA,NA,"2019-FA","FAAM","1.5","Ethanol",0.947,"SIERRA-F-05",-28.69,414.19,2.4,110.61,"Invertebrate",0.947,1669599,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-0.261666667,1.365833333
"289","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",1,"48.289162","-113.916198",0.5,NA,1,"Collector-gatherer-scraper","D-net","Chironomidae_w","Littoral forage Invertebrate","Midge","Chironomidae_w",NA,NA,"2019-EA","EAAJ","1.5","Ethanol",0.925,"SIERRA-B-07",-26.49,399.2,2.17,89.48,"Invertebrate",0.925,1669553,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,1.938333333,1.135833333
"290","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",10,"48.272382","-113.818339",1,1,1,"Engulfer-predator-shredder-herbivore-collector-gatherer","D-net","Leptoceridae","Littoral forage Invertebrate","Longhorned case maker caddisfly","Leptoceridae",NA,NA,"2019-FA","FAAP","1.5","Ethanol",1.033,"SIERRA-F-06",-31.65,392.98,2.59,91.27,"Invertebrate",1.033,1669600,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-3.221666667,1.555833333
"291","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"NO",NA,"48.241052","-113.488663",23,4,4,"Collector-gatherer-scraper","Dredge","Chironomidae_w","Profundal forage Invertebrate","Midge","Chironomidae_w",NA,NA,"2019-EA","EAAG","1.5","Ethanol",0.358,"SIERRA-F-07",-31.22,110.95,5.76,25.06,"Invertebrate",0.358,1669601,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-2.791666667,4.725833333
"292","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",2,"48.219718","-113.805746",1.5,1,1,"Engulfer-predator-shredder-herbivore-collector-gatherer","D-net","Leptoceridae","Littoral forage Invertebrate","Longhorned case maker caddisfly","Leptoceridae",NA,NA,"2019-EA","EAAO","1.5","Ethanol",0.958,"SIERRA-B-09",-30.03,424.12,2.47,100.51,"Invertebrate",0.958,1669555,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-1.601666667,1.435833333
"293","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",7,"48.057322","-113.646244",1.5,3,3,"Piercer-predator","D-net","Dytiscidae","Littoral forage Invertebrate","Predaceous diving beetle adult","Dytiscidae",NA,NA,"2019-EA","EADA","1.5","Ethanol",1.044,"SIERRA-E-05",-27.78,514.06,3.31,124.76,"Invertebrate",1.044,1669587,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,0.648333333,2.275833333
"294","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",7,"48.057322","-113.646244",1.5,2,2,"","D-net","Perlodidae","Littoral forage Invertebrate","Perlodid stonefly","Perlodidae",NA,NA,"2019-EA","EADB","1.5","Ethanol",1.055,"SIERRA-E-06",-30.22,509.09,2.7,134.15,"Invertebrate",1.055,1669588,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-1.791666667,1.665833333
"295","Hungry Horse","Reference","Fish","Autochthonous",2019,8,"NO",NA,"48.018704","-113.585887",NA,1,1,NA,"Electrofisher","Slimy sculpin","Generalist fish","Slimy sculpin","Cottus cognatus",71,4.1,"2019-AD","ADCB","1.5","Ethanol",0.935,"SIERRA-B-01",-30.68,427.77,7.22,71.16,"Fish",0.935,1669547,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-2.251666667,6.185833333
"296","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",8,"48.109816","-113.697611",0.5,34,34,"Collector-gatherer-filterer","D-net","Ephemerellidae","Littoral forage Invertebrate","Spiny crawler mayfly","Ephemerellidae",NA,NA,"2019-EA","EADI","1.5","Ethanol",0.904,"SIERRA-E-08",-26.75,335.78,0.96,94.75,"Invertebrate",0.904,1669590,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,1.678333333,-0.074166667
"297","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",3,"48.126126","-113.808814",0.5,1,1,"Scraper-collector-gatherer","D-net","Planorbidae","Littoral forage Invertebrate","Planorbid snail","Planorbidae",NA,NA,"2019-EA","EAAU","1.5","Ethanol",0.915,"SIERRA-C-02",-21.85,252.43,0.63,52.36,"Invertebrate",0.915,1669560,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,6.578333333,-0.404166667
"298","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",3,"48.126126","-113.808814",1,1,1,"Scraper-collector-gatherer","D-net","Heptageniidae","Littoral forage Invertebrate","Flatheaded mayfly","Heptageniidae",NA,NA,"2019-EA","EAAX","1.5","Ethanol",0.914,"SIERRA-C-04",-31.64,398.38,-0.77,103.61,"Invertebrate",0.914,1669562,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-3.211666667,-1.804166667
"299","Hungry Horse","Reference","Fish","Autochthonous",2019,8,"NO",NA,"48.018704","-113.585887",NA,1,1,NA,"Electrofisher","Slimy sculpin","Generalist fish","Slimy sculpin","Cottus cognatus",66,3.3,"2019-AD","ADCJ","1.5","Ethanol",1.019,"SIERRA-B-02",-30.13,586.03,6.48,112.02,"Fish",1.019,1669548,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-1.701666667,5.445833333
"300","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",2,"48.219718","-113.805746",0.5,NA,1,"Engulfer-predator","D-net","Cambarus","Littoral forage Invertebrate","Crawdad","Cambarus",NA,NA,"2019-15-2","EBAB","15","",0.937,"INDIA-C-04",-23.28,423.49,4.05,122.07,"Invertebrate",0.937,1668602,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,5.148333333,3.015833333
"301","Hungry Horse","Reference","Fish","Autochthonous",2019,10,"NO",NA,"","",NA,1,1,NA,"Gill net MFWP","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",599,2073,"2019-AI","AIAM","1.5","Ethanol",0.932,"UNIFORM-B-09",-32.23,604.18,8.85,95.95,"Fish",0.932,1669747,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-3.801666667,7.815833333
"302","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",9,"48.213311","-113.768894",1,1,1,"Scraper-collector-gatherer","D-net","Planorbidae","Littoral forage Invertebrate","Planorbid snail","Planorbidae",NA,NA,"2019-FA","FAAE","1.5","Ethanol",0.654,"SIERRA-F-03",-22.36,233.56,0.83,55.56,"Invertebrate",0.654,1669597,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,6.068333333,-0.204166667
"303","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",3,"48.126126","-113.808814",1.5,1,1,"Piercer-herbivore-scraper","D-net","Hydroptilidae","Littoral forage Invertebrate","Micro caddisfly","Hydroptilidae",NA,NA,"2019-EA","EABG","1.5","Ethanol",0.339,"SIERRA-D-01",-27.48,150.71,-0.04,34.74,"Invertebrate",0.339,1669571,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,0.948333333,-1.074166667
"304","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",7,"48.057322","-113.646244",0.5,1,1,"Piercer-predator","D-net","Dytiscidae","Littoral forage Invertebrate","Predaceous diving beetle adult","Dytiscidae",NA,NA,"2019-EA","EACL","1.5","Ethanol",0.926,"SIERRA-D-10",-28.45,454.16,3.47,102.81,"Invertebrate",0.926,1669580,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-0.021666667,2.435833333
"305","Hungry Horse","Reference","Periphyton","Autochthonous",2019,6,"NO",NA,"48.018702","-113.586312",0.5,NA,NA,NA,"Brush","Periphyton","Littoral forage Periphyton","Periphyton","Periphyton",NA,NA,"2019-15-2","19-049","15","Water",9.968,"INDIA-E-05",-22.73,1400.72,-0.02,111.71,"Plant",9.968,1668627,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,5.698333333,-1.054166667
"306","Hungry Horse","Reference","Fish","Autochthonous",2017,10,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net MTFWP","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",586,2120,"2018-T","TBZ","1.5","Water",0.946,"TANGO-H-08",-29.46,471.15,8.93,136.7,"Fish",0.946,1669722,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-1.031666667,7.895833333
"307","Hungry Horse","Reference","Fish","Autochthonous",2017,10,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net MTFWP","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",744,4193,"2018-T","RDC","1.5","Water",1.052,"TANGO-H-09",-29.37,526.99,9.3,161.1,"Fish",1.052,1669723,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-0.941666667,8.265833333
"308","Hungry Horse","Reference","Fish","Autochthonous",2017,10,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net MTFWP","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",421,535,"2018-T","TCD","1.5","Water",1.027,"UNIFORM-A-01",-27.36,502.4,9.98,157.16,"Fish",1.027,1669727,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,1.068333333,8.945833333
"309","Hungry Horse","Reference","Fish","Autochthonous",2017,10,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net MTFWP","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",330,248,"2018-T","RCT","1.5","Water",0.961,"UNIFORM-A-10",-27.48,461.84,9.18,148.32,"Fish",0.961,1669736,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,0.948333333,8.145833333
"310","Hungry Horse","Reference","Fish","Autochthonous",2017,10,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net MTFWP","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",315,221,"2018-T","RDG","1.5","Water",0.918,"UNIFORM-A-11",-27.83,448.66,9.82,139.23,"Fish",0.918,1669737,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,0.598333333,8.785833333
"311","Hungry Horse","Reference","Fish","Autochthonous",2017,10,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net MTFWP","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",444,574,"2018-T","RCX","1.5","Water",0.954,"GOLF-C-12",-27.22,447.76,9.48,143.59,"Fish",0.954,1668418,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,1.208333333,8.445833333
"312","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",3,"48.126126","-113.808814",1,3,3,"Collector-gatherer-filterer-scraper","D-net","Baetidae","Littoral forage Invertebrate","Small minnow mayfly","Baetidae",NA,NA,"2019-EA","EAAY","1.5","Ethanol",0.903,"SIERRA-C-05",-30.13,436.23,-0.62,120.49,"Invertebrate",0.903,1669563,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-1.701666667,-1.654166667
"313","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",3,"48.126126","-113.808814",1,1,1,"","D-net","Perlodidae","Littoral forage Invertebrate","Perlodid stonefly","Perlodidae",NA,NA,"2019-EA","EAAZ","1.5","Ethanol",1.046,"SIERRA-C-07",-27.77,462.26,1.19,114.06,"Invertebrate",1.046,1669565,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,0.658333333,0.155833333
"314","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",3,"48.126126","-113.808814",1.5,1,1,"","D-net","Perlodidae","Littoral forage Invertebrate","Perlodid stonefly","Perlodidae",NA,NA,"2019-EA","EABA","1.5","Ethanol",0.956,"SIERRA-C-08",-28.17,428.13,0.19,109.77,"Invertebrate",0.956,1669566,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,0.258333333,-0.844166667
"315","Hungry Horse","Reference","Fish","Autochthonous",2019,8,"NO",NA,"48.018704","-113.585887",NA,1,1,NA,"Electrofisher","Slimy sculpin","Generalist fish","Slimy sculpin","Cottus cognatus",61,3.5,"2019-AD","ADBY","1.5","Ethanol",0.916,"SIERRA-A-12",-31.7,522.21,5.05,74.81,"Fish",0.916,1669546,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-3.271666667,4.015833333
"316","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",8,"48.109816","-113.697611",1.5,8,8,"Collector-gatherer-filterer","D-net","Ephemerellidae","Littoral forage Invertebrate","Spiny crawler mayfly","Ephemerellidae",NA,NA,"2019-EA","EADO","1.5","Ethanol",1.078,"SIERRA-E-11",-27.42,422.61,1.31,116.52,"Invertebrate",1.078,1669593,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,1.008333333,0.275833333
"317","Hungry Horse","Reference","Fish","Autochthonous",2017,10,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net MTFWP","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",436,708,"2018-T","IAZ","1.5","Water",1.025,"GOLF-D-01",-26.48,505.8,9.55,156.97,"Fish",1.025,1668419,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,1.948333333,8.515833333
"318","Hungry Horse","Reference","Fish","Autochthonous",2017,10,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net MTFWP","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",400,462,"2018-T","TCA","1.5","Water",0.913,"UNIFORM-A-09",-26.41,448.17,9.45,141.13,"Fish",0.913,1669735,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,2.018333333,8.415833333
"319","Hungry Horse","Reference","Fish","Autochthonous",2017,10,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net MTFWP","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",322,352,"2018-T","TDE","1.5","Water",0.929,"UNIFORM-B-01",-27.2,465.02,9.63,145.63,"Fish",0.929,1669739,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,1.228333333,8.595833333
"320","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",3,"48.126126","-113.808814",0.5,NA,2,"Collector-gatherer-scraper","D-net","Leptophlebiidae","Littoral forage Invertebrate","Prong-gilled mayfly","Leptophlebiidae",NA,NA,"2019-EA","EAAT","1.5","Ethanol",1.047,"SIERRA-C-01",-26.38,473.03,2.42,134.96,"Invertebrate",1.047,1669559,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,2.048333333,1.385833333
"321","Hungry Horse","Reference","Fish","Autochthonous",2019,10,"NO",NA,"","",NA,1,1,NA,"Gill net MFWP","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",512,1143,"2019-AI","AIBH","1.5","Ethanol",0.979,"UNIFORM-B-11",-30.86,520.77,8.99,115.81,"Fish",0.979,1669749,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-2.431666667,7.955833333
"322","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",8,"48.109816","-113.697611",0.5,1,1,"Piercer-predator","D-net","Dytiscidae","Littoral forage Invertebrate","Predaceous diving beetle adult","Dytiscidae",NA,NA,"2019-EA","EADG","1.5","Ethanol",0.959,"SIERRA-E-07",-28.3,448.52,0.88,106.75,"Invertebrate",0.959,1669589,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,0.128333333,-0.154166667
"323","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",3,"48.126126","-113.808814",1.5,NA,1,"Collector-gatherer-scraper","D-net","Leptophlebiidae","Littoral forage Invertebrate","Prong-gilled mayfly","Leptophlebiidae",NA,NA,"2019-EA","EABF","1.5","Ethanol",1.036,"SIERRA-C-12",-29.38,518.3,1.75,108.08,"Invertebrate",1.036,1669570,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-0.951666667,0.715833333
"324","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",8,"48.109816","-113.697611",1,1,1,"Piercer-predator","D-net","Dytiscidae","Littoral forage Invertebrate","Predaceous diving beetle adult","Dytiscidae",NA,NA,"2019-EA","EADK","1.5","Ethanol",1.053,"SIERRA-E-09",-27.67,501.98,1.75,118.9,"Invertebrate",1.053,1669591,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,0.758333333,0.715833333
"325","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",9,"48.213311","-113.768894",0.5,1,1,"Collector-filterer-gatherer","D-net","Culicidae","Littoral forage Invertebrate","Mosquito","Culicidae",NA,NA,"2019-FA","FAAB","1.5","Ethanol",1.047,"SIERRA-F-01",-27.94,516.89,4.7,140.16,"Invertebrate",1.047,1669595,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,0.488333333,3.665833333
"326","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",9,"48.213311","-113.768894",0.5,22,22,"Piercer-predator","D-net","Hydrachnidia","Littoral forage Invertebrate","Water mite","Hydrachnidia",NA,NA,"2019-FA","FAAC","1.5","Ethanol",0.957,"SIERRA-F-02",-26.38,460.75,4.87,126.76,"Invertebrate",0.957,1669596,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,2.048333333,3.835833333
"327","Hungry Horse","Reference","Fish","Autochthonous",2019,8,"NO",NA,"48.018704","-113.585887",NA,1,1,NA,"Electrofisher","Slimy sculpin","Generalist fish","Slimy sculpin","Cottus cognatus",51,2,"2019-AD","ADCK","1.5","Ethanol",0.932,"SIERRA-B-03",-30.78,525.59,6.04,85.48,"Fish",0.932,1669549,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-2.351666667,5.005833333
"328","Hungry Horse","Reference","Fish","Autochthonous",2019,8,"NO",NA,"48.018704","-113.585887",NA,1,1,NA,"Electrofisher","Slimy sculpin","Generalist fish","Slimy sculpin","Cottus cognatus",70,4.3,"2019-AD","ADCL","1.5","Ethanol",1.045,"SIERRA-B-04",-29.7,602.73,6.87,126.54,"Fish",1.045,1669550,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-1.271666667,5.835833333
"329","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",3,"48.126126","-113.808814",1.5,NA,1,"Piercer-predator","D-net","Elmidae","Littoral forage Invertebrate","Riffle beetle larvae","Elmidae",NA,NA,"2019-EA","EABB","1.5","Ethanol",0.97,"SIERRA-C-09",-29.59,464.52,-1.54,111.4,"Invertebrate",0.97,1669567,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-1.161666667,-2.574166667
"330","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",9,"48.213311","-113.768894",1.5,1,1,"Collector-filterer-gatherer","D-net","Culicidae","Littoral forage Invertebrate","Mosquito","Culicidae",NA,NA,"2019-FA","FAAL","1.5","Ethanol",0.9,"SIERRA-F-04",-27.24,447.09,4.54,118.72,"Invertebrate",0.9,1669598,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,1.188333333,3.505833333
"331","Hungry Horse","Reference","Fish","Autochthonous",2017,10,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net MTFWP","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",551,1801,"2018-T","TCH","1.5","Water",0.991,"TANGO-H-06",-29.11,508.76,8.9,130.44,"Fish",0.991,1669720,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-0.681666667,7.865833333
"332","Hungry Horse","Reference","Fish","Autochthonous",2017,10,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net MTFWP","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",436,764,"2018-T","FDN","1.5","Water",1.078,"PAPA-G-08",-26.7,535.87,9.25,163.76,"Fish",1.078,1669326,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,1.728333333,8.215833333
"333","Hungry Horse","Reference","Fish","Autochthonous",2017,10,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net MTFWP","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",361,366,"2018-T","PDB","1.5","Water",0.945,"TANGO-H-07",-28.71,469.16,9.41,139.92,"Fish",0.945,1669721,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-0.281666667,8.375833333
"334","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",3,"48.126126","-113.808814",1.5,1,1,"Piercer-predator","D-net","Hydrachnidia","Littoral forage Invertebrate","Water mite","Hydrachnidia",NA,NA,"2019-EA","EABD","1.5","Ethanol",0.974,"SIERRA-C-10",-28.13,460.02,3.29,125.26,"Invertebrate",0.974,1669568,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,0.298333333,2.255833333
"335","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"YES",3,"48.126126","-113.808814",1.5,NA,1,"Collector-gatherer-scraper","D-net","Chironomidae_r","Littoral forage Invertebrate","Midge","Chironomidae_r",NA,NA,"2019-EA","EABE","1.5","Ethanol",0.953,"SIERRA-C-11",-27.75,425.7,2.51,104.29,"Invertebrate",0.953,1669569,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,0.678333333,1.475833333
"336","Hungry Horse","Reference","Fish","Autochthonous",2017,10,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net MTFWP","Largescale sucker","Littoral forage fish","Largescale sucker","Catostomus macrocheilus",410,NA,"2018-T","ADQ","1.5","Water",0.968,"QUEBEC-A-02",-28.11,446.7,7.27,141.07,"Fish",0.968,1669344,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,0.318333333,6.235833333
"337","Hungry Horse","Reference","Fish","Autochthonous",2017,10,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net MTFWP","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",731,3682,"2018-T","TCL","1.5","Water",0.935,"TANGO-H-01",-29.22,474.24,9.44,132.25,"Fish",0.935,1669715,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-0.791666667,8.405833333
"338","Hungry Horse","Reference","Fish","Autochthonous",2017,10,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net MTFWP","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",447,608,"2018-T","TDF","1.5","Water",0.937,"TANGO-H-10",-28.21,434.38,10.51,135.75,"Fish",0.937,1669724,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,0.218333333,9.475833333
"339","Hungry Horse","Reference","Fish","Autochthonous",2017,10,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net MTFWP","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",405,533,"2018-T","RDQ","1.5","Water",0.91,"TANGO-H-11",-26.23,448.37,9.56,138.18,"Fish",0.91,1669725,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,2.198333333,8.525833333
"340","Hungry Horse","Reference","Fish","Autochthonous",2017,10,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net MTFWP","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",422,520,"2018-T","TDA","1.5","Water",0.927,"TANGO-H-12",-27.47,448.81,9.66,139.57,"Fish",0.927,1669726,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,0.958333333,8.625833333
"341","Hungry Horse","Reference","Fish","Autochthonous",2017,10,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net MTFWP","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",401,477,"2018-T","RDK","1.5","Water",0.951,"TANGO-H-02",-27.25,459.83,9.53,145.37,"Fish",0.951,1669716,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,1.178333333,8.495833333
"342","Hungry Horse","Reference","Invertebrate","Autochthonous",2019,6,"NO",NA,"48.24363","-113.848137",5,NA,NA,"Filterer-collector-phytoplanktivore","Zooplankton tow","Zooplankton","Pelagic forage Invertebrate","Zooplankton","Zooplankton",NA,NA,"2019-50-3","19-046","50","Water",0.91,"HOTEL-C-04",-35.73,323.5,4.12,41.9,"Invertebrate",0.91,1668506,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-7.301666667,3.085833333
"343","Hungry Horse","Reference","Fish","Autochthonous",2017,10,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net MTFWP","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",375,354,"2018-T","TCE","1.5","Water",1.005,"TANGO-H-05",-29.26,466.49,9.74,143.67,"Fish",1.005,1669719,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-0.831666667,8.705833333
